Line 29: expected <Outside : PRP> but got <Outside : AV0>
Line 51: expected <Cosmopolitan : AJ0> but got <Cosmopolitan : NP0-NN1>
Line 65: expected <to : TO0> but got <to : PRP>
Line 66: expected <waft : VVI> but got <waft : AT0>
Line 84: expected <dark : AJ0-NN1> but got <dark : AJ0>
Line 85: expected <suit : NN1-VVB> but got <suit : NN1>
Line 89: expected <referred : VVD> but got <referred : VVN-VVD>
Line 91: expected <as : PRP> but got <as : CJS>
Line 95: expected <uniform : NN1> but got <uniform : NN1-AJ0>
Line 131: expected <home : NN1> but got <home : AV0>
Line 171: expected <as : PRP> but got <as : CJS>
Line 190: expected <more : AV0> but got <more : DT0>
Line 208: expected <to : PRP> but got <to : TO0>
Line 209: expected <an : AT0> but got <an : VVI>
Line 230: expected <to : PRP> but got <to : TO0>
Line 231: expected <the : AT0> but got <the : VVI>
Line 239: expected <One : PNI> but got <One : CRD>
Line 240: expected <had : VHD> but got <had : NN1>
Line 272: expected <glance : VVB> but got <glance : NN1-VVB>
Line 282: expected <just : AV0-AJ0> but got <just : AV0>
Line 283: expected <over : AV0> but got <over : PRP>
Line 289: expected <curling : NN1-VVG> but got <curling : NN1>
Line 299: expected <to : PRP> but got <to : TO0>
Line 300: expected <his : DPS> but got <his : VVI>
Line 307: expected <to : PRP> but got <to : TO0>
Line 308: expected <being : VBG> but got <being : NN1>
Line 324: expected <thought : VVN> but got <thought : VVD>
Line 349: expected <little : AV0> but got <little : AJ0>
Line 351: expected <since : PRP> but got <since : CJS>
Line 355: expected <straight : AV0-AJ0> but got <straight : AV0>
Line 361: expected <when : CJS-AVQ> but got <when : AVQ-CJS>
Line 416: expected <to : TO0> but got <to : PRP>
Line 417: expected <get : VVI> but got <get : AT0>
Line 418: expected <out : AVP> but got <out : NN1>
Line 422: expected <on : AVP> but got <on : PRP>
Line 441: expected <grey : NN1> but got <grey : AJ0>
Line 500: expected <over : PRP-AVP> but got <over : PRP>
Line 526: expected <by : AVP> but got <by : PRP>
Line 553: expected <in : AVP> but got <in : PRP>
Line 570: expected <her : DPS> but got <her : PNP>
Line 571: expected <features : NN2> but got <features : PUN>
Line 572: expected <softened : VVN-AJ0> but got <softened : VVD-VVN>
Line 606: expected <right : AJ0> but got <right : AV0>
Line 629: expected <Swansborough : NP0> but got <Swansborough : NP0-NN1>
Line 639: expected <little : AV0> but got <little : AJ0>
Line 648: expected <in : AVP-PRP> but got <in : PRP>
Line 677: expected <passed : VVN-VVD> but got <passed : VVD>
Line 678: expected <through : PRP-AVP> but got <through : PRP>
Line 698: expected <in : PRP-AVP> but got <in : PRP>
Line 714: expected <to : PRP> but got <to : TO0>
Line 715: expected <a : AT0> but got <a : VVI>
Line 724: expected <to : PRP> but got <to : TO0>
Line 728: expected <in : AVP> but got <in : PRP-AVP>
Line 733: expected <in : AVP> but got <in : PRP-AVP>
Line 767: expected <managed : VVD> but got <managed : VVN>
Line 779: expected <back : NN1-AJ0> but got <back : NN1>
Line 818: expected <gold : NN1> but got <gold : NN1-AJ0>
Line 846: expected <right : AJ0> but got <right : AV0>
Line 926: expected <one : PNI> but got <one : CRD>
Line 960: expected <on : AVP-PRP> but got <on : PRP>
Line 977: expected <smiling : VVG-AJ0> but got <smiling : VVG>
Line 1010: expected <bloody : AV0> but got <bloody : AJ0>
Line 1034: expected <on : PRP-AVP> but got <on : PRP>
Line 1044: expected <across : AV0> but got <across : PRP>
Line 1080: expected <when : AVQ> but got <when : CJS>
Line 1146: expected <to : PRP> but got <to : TO0>
Line 1164: expected <to : PRP> but got <to : TO0>
Line 1165: expected <all : DT0> but got <all : AV0>
Line 1169: expected <both : DT0> but got <both : AV0>
Line 1173: expected <to : PRP> but got <to : TO0>
Line 1193: expected <right : AV0-AJ0> but got <right : AV0>
Line 1203: expected <both : AV0> but got <both : DT0>
Line 1224: expected <top : AJ0> but got <top : AJ0-NN1>
Line 1227: expected <her : DPS> but got <her : PNP>
Line 1228: expected <legs : NN2> but got <legs : PUN>
Line 1235: expected <figure : NN1-VVB> but got <figure : NN1>
